
"{'loss': 0.0834898054599762, 'acc': 0.9737195372581482, 'val_loss': 0.2513672113418579, 'val_acc': 0.9092887256901945, 'val_aupr': 0.9576979173444955, 'val_auc': 0.9662989147009683, 'val_f1': 0.9081899518238128, 'kfold': 4, 'epoch_count': 3}"
"{'loss': 0.06032627448439598, 'acc': 0.9821680784225464, 'val_loss': 0.3454834818840027, 'val_acc': 0.9048007615939072, 'val_aupr': 0.951355429162994, 'val_auc': 0.9600265157865779, 'val_f1': 0.9067164179104478, 'kfold': 4, 'epoch_count': 4}"
"{'loss': 0.05031302571296692, 'acc': 0.9851088523864746, 'val_loss': 0.32245901226997375, 'val_acc': 0.9048007615939072, 'val_aupr': 0.9549723316634917, 'val_auc': 0.9631754411640016, 'val_f1': 0.9050976138828634, 'kfold': 4, 'epoch_count': 5}"
"{'loss': 0.0440705344080925, 'acc': 0.9870127439498901, 'val_loss': 0.34025150537490845, 'val_acc': 0.9106487148102815, 'val_aupr': 0.9557673667816325, 'val_auc': 0.9630697124430347, 'val_f1': 0.9112042167860521, 'kfold': 4, 'epoch_count': 6}"
"{'loss': 0.039164602756500244, 'acc': 0.9889336824417114, 'val_loss': 0.34508252143859863, 'val_acc': 0.9043927648578811, 'val_aupr': 0.9496179382351254, 'val_auc': 0.9599389510971, 'val_f1': 0.9058019563178347, 'kfold': 4, 'epoch_count': 7}"
"{'loss': 0.03615216165781021, 'acc': 0.9888656735420227, 'val_loss': 0.33183753490448, 'val_acc': 0.90765673874609, 'val_aupr': 0.9513469608712042, 'val_auc': 0.9614341727360181, 'val_f1': 0.9086260261068496, 'kfold': 4, 'epoch_count': 8}"
"{'loss': 0.3568408787250519, 'acc': 0.8368266224861145, 'val_loss': 0.25164318084716797, 'val_acc': 0.8985448116415069, 'val_aupr': 0.9528866267468697, 'val_auc': 0.9603064623318093, 'val_f1': 0.8996232508073198, 'kfold': 5, 'epoch_count': 1}"
"{'loss': 0.15053969621658325, 'acc': 0.9461472034454346, 'val_loss': 0.2378597855567932, 'val_acc': 0.9140486876104991, 'val_aupr': 0.9587146346047607, 'val_auc': 0.965127385212581, 'val_f1': 0.9163578613022763, 'kfold': 5, 'epoch_count': 2}"
"{'loss': 0.08171354234218597, 'acc': 0.9745184779167175, 'val_loss': 0.2987261712551117, 'val_acc': 0.9022167822657419, 'val_aupr': 0.9518622917605966, 'val_auc': 0.9599183512927638, 'val_f1': 0.9048815980949861, 'kfold': 5, 'epoch_count': 3}"
"{'loss': 0.06012805923819542, 'acc': 0.9827460050582886, 'val_loss': 0.3273979425430298, 'val_acc': 0.9037127702978376, 'val_aupr': 0.9525377276011764, 'val_auc': 0.9604904737995639, 'val_f1': 0.9066947812335266, 'kfold': 5, 'epoch_count': 4}"
